,ABEV3.SA,ALPA4.SA,AZUL4.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,CBAV3.SA,CMIN3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENGI11.SA,FLRY3.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,MULT3.SA,PCAR3.SA,PETZ3.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIZ4.SA,RENT3.SA,SLCE3.SA,SMTO3.SA,TAEE11.SA,TOTS3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA,BRKM5.SA,CPLE6.SA,ENEV3.SA,ITSA4.SA,JBSS3.SA,MDIA3.SA,SIMH3.SA,STBP3.SA,VBBR3.SA,CMIG4.SA,CPFE3.SA,EQTL3.SA,EZTC3.SA,QUAL3.SA,RDOR3.SA,BRAV3.SA,GOLL4.SA,SANB11.SA,SUZB3.SA,CCRO3.SA,EGIE3.SA,RAIL3.SA,UGPA3.SA,BPAC11.SA,COGN3.SA,DIRR3.SA,LWSA3.SA,PETR3.SA,PETR4.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,BHIA3.SA,CASH3.SA,CVCB3.SA,SBSP3.SA,ALOS3.SA,BRFS3.SA,NTCO3.SA
2023-03-20,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,,,,,,,,,,,,,,,,
2023-05-08,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,,,,,,,,,,,,,,,,
2023-05-15,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,,,,
2023-05-22,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-05-29,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-06-05,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-06-12,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-06-19,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-06-26,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-07-03,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-07-10,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-07-17,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-07-24,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-07-31,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-08-07,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130,,,,,,,
2023-08-14,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,,,,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,,0.0132,0.0132,,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,,0.0132,0.0132,0.0132,0.0132,,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,,,,,,,
2023-08-21,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,,,,,
2023-08-28,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,,,,,
2023-09-04,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,,,,,
2023-09-11,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,,,,,
2023-09-18,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,0.0133,0.0133,0.0133,0.0133,,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,,,,,,,
